iata,name,city,state,country,latitude,longitude,min,max,min_latitude,min_longitude,max_latitude,max_longitude
0j0,Abbeville Municipal,abbeville,al,usa,31.60016778,-85.23882222,2.0777,2.0777,31.57183456,-85.25048828,31.57183456,-85.25048828
0j6,Headland Municipal,headland,al,usa,31.364895,-85.30965556,2.0048,12.8139,31.35128403,-85.34215546,31.29267693,-85.11159515
0l5,Goldfield,goldfield,nv,usa,37.71798833,-117.2384119,0.647426,0.671783,37.70869446,-117.2366333,37.7084465,-117.2357101
0l7,Jean,jean,nv,usa,35.76827222,-115.3296378,0.805903,11.2755,35.77900696,-115.3243103,35.61158752,-115.3858643
0l9,Echo Bay,overton,nv,usa,36.31108972,-114.4638672,7.24512,7.24512,36.21550751,-114.4106293,36.21550751,-114.4106293
0m5,Humphreys County,waverly,tn,usa,36.11659972,-87.73815889,3.91253,8.37989,36.08300018,-87.79458618,36.03450775,-87.62779999
0m6,Panola County,batesville,ms,usa,34.36677444,-89.90008917,10.5208,10.5208,34.51066208,-89.93981171,34.51066208,-89.93981171
0m8,Byerley,lake providence,la,usa,32.82587917,-91.187665,1.80922,1.80922,32.8042984,-91.17011261,32.8042984,-91.17011261
0q5,Shelter Cove,shelter cove,ca,usa,40.02764333,-124.0733639,8.64652,8.64652,40.13847733,-123.9972534,40.13847733,-123.9972534
0q6,Shingletown,shingletown,ca,usa,40.52210111,-121.8177683,16.619,16.619,40.48813248,-121.504921,40.48813248,-121.504921
0r1,Atmore Municipal,atmore,al,usa,31.01621528,-87.44675972,2.83689,2.83689,31.02379227,-87.4938736,31.02379227,-87.4938736
0r4,Concordia Parish,vidalia,la,usa,31.56683278,-91.50011889,4.3267,6.08598,31.52655602,-91.44595337,31.56044388,-91.40316772
0s7,Dorothy Scott,oroville,wa,usa,48.958965,-119.4119622,1.87836,1.87836,48.93646622,-119.4351425,48.93646622,-119.4351425
0v6,Mission Sioux,mission,sd,usa,43.30694778,-100.6281936,1.52048,1.52048,43.30583572,-100.6581955,43.30583572,-100.6581955
0v7,Kayenta,kayenta,az,usa,36.70972139,-110.2367978,0.819238,1.42658,36.70929337,-110.2517776,36.71795273,-110.2606049
10g,Holmes County,millersburg,oh,usa,40.53716667,-81.95436111,2.25853,8.5693,40.55450821,-81.91792297,40.56117249,-81.79430389
12d,Tower Municipal,tower,mn,usa,47.81833333,-92.29166667,1.15533,1.15533,47.80498505,-92.27664948,47.80498505,-92.27664948
12k,Superior Municipal,superior,ne,usa,40.04636111,-98.06011111,2.09876,9.8221,33.29394531,-111.0962296,39.90445709,-98.05088043
13c,Lakeview,lakeview,mi,usa,43.45213722,-85.26480333,1.10308,10.1896,33.1192894,-97.0255661,37.18616104,-86.09997559
13n,Trinca,andover,nj,usa,40.96676444,-74.78016556,1.64857,1.64857,40.95620728,-74.8085022,40.95620728,-74.8085022
14j,Carl Folsom,elba,al,usa,31.40988861,-86.08883583,1.36931,1.36931,31.41460991,-86.06772614,31.41460991,-86.06772614
14y,Todd Field,long prairie,mn,usa,45.89857556,-94.87391,2.4021,2.4021,41.73187256,-93.60037994,41.73187256,-93.60037994
16a,Nunapitchuk,nunapitchuk,ak,usa,60.90582833,-162.4391158,0.874366,0.874366,60.89694595,-162.4594421,60.89694595,-162.4594421
16g,Seneca County,tiffin,oh,usa,41.09405556,-83.2125,2.2851,6.26197,41.11448669,-83.17795563,41.05144501,-83.31853485
16s,Myrtle Creek Municipal,myrtle creek,or,usa,42.99845056,-123.3095092,4.28032,5.1112,42.95095062,-123.3642349,42.9276123,-123.2812042
17k,Boise City,boise city,ok,usa,36.77430028,-102.5104364,26.6039,26.6039,36.90307617,-102.9632645,36.90307617,-102.9632645
1a6,Middlesboro-Bell County,middlesboro,ky,usa,36.6106375,-83.73741611,1.16454,10.7273,36.6084137,-83.71658325,36.76203156,-83.69491577
1b0,Dexter Regional,dexter,me,usa,45.00839444,-69.23976722,2.93699,2.93699,45.02404022,-69.29008484,45.02404022,-69.29008484
1b9,Mansfield Municipal,mansfield,ma,usa,42.00013306,-71.19677139,2.35815,2.569,41.96676636,-71.18699646,42.03343201,-71.21894073
1f4,Madill Municipal,madill,ok,usa,34.14040194,-96.81203222,4.15666,4.15666,34.09037399,-96.77166748,34.09037399,-96.77166748
1g0,Wood County,bowling green,oh,usa,41.391,-83.63013889,1.57128,1.57128,41.37477493,-83.65132141,41.37477493,-83.65132141
1g3,Kent State University,kent,oh,usa,41.15186167,-81.41658306,1.44479,2.98149,41.15962601,-81.44062805,41.15366745,-81.35788727
1h8,Casey Municipal,casey,il,usa,39.30250917,-88.00406194,0.694349,9.32195,39.29938507,-87.99175262,39.24781418,-88.16336823
1i5,Freehold,freehold,ny,usa,42.36425,-74.06596806,3.11942,3.11942,42.3419342,-74.01295471,42.3419342,-74.01295471
1k2,Lindsay Municipal,lindsay,ok,usa,34.85007333,-97.58642028,1.40024,1.40024,34.83479691,-97.60253143,34.83479691,-97.60253143
1l7,Escalante Municipal,escalante,ut,usa,37.74532639,-111.5701653,2.45999,14.4511,37.77022171,-111.6021423,37.92409134,-111.432724
1l9,Parowan,parowan,ut,usa,37.85969694,-112.816055,1.37543,1.37543,37.84219742,-112.8280029,37.84219742,-112.8280029
1m7,Fulton,fulton,ky,usa,36.52589417,-88.91561611,2.74342,2.74342,36.50422668,-88.87422943,36.50422668,-88.87422943
1mo,Mountain Grove Memorial,mountain grove,mo,usa,37.12071889,-92.311245,2.71667,5.77731,37.1306076,-92.2634964,37.10838699,-92.41488647
1n2,Spadaro,east moriches,ny,usa,40.82787639,-72.74871083,1.68512,1.68512,40.85121155,-72.75815582,40.85121155,-72.75815582
1n7,Blairstown,blairstown,nj,usa,40.97114556,-74.99747556,8.45754,8.45754,41.09342957,-75.00183868,41.09342957,-75.00183868
1o3,Lodi,lodi,ca,usa,38.20241667,-121.2684167,2.00254,2.00254,38.17464066,-121.2785568,38.17464066,-121.2785568
1o4,Thomas Municipal,thomas,ok,usa,35.73338222,-98.73063833,1.18781,1.18781,35.74421692,-98.74758148,35.74421692,-98.74758148
1r7,Brookhaven-Lincoln County,brookhaven,ms,usa,31.6058475,-90.40931583,2.61185,2.61185,31.5790596,-90.44065094,31.5790596,-90.44065094
1r8,Bay Minette Municipal,bay minette,al,usa,30.87046278,-87.81738167,2.87759,2.87759,30.88296318,-87.7730484,30.88296318,-87.7730484
1s5,Sunnyside Municipal,sunnyside,wa,usa,46.32763139,-119.9705964,1.83049,7.86222,46.32464218,-120.0081863,46.21484756,-119.9967117
1v6,Fremont County,canon city,co,usa,38.42838111,-105.1054994,2.69495,3.57654,38.39027786,-105.1185989,38.37633133,-105.1023102
20a,Robbins,oneonta,al,usa,33.97231972,-86.37942722,6.70997,6.70997,38.85056305,-93.99021912,38.85056305,-93.99021912
20m,Macon Municipal,macon,ms,usa,33.13345889,-88.53559806,2.43132,2.43132,33.1054039,-88.56087494,33.1054039,-88.56087494
20u,Beach,beach,nd,usa,46.92362444,-103.9785389,1.16537,1.16537,46.91806793,-104.0043716,46.91806793,-104.0043716
21d,Lake Elmo,st paul,mn,usa,44.99748861,-92.85568111,1.16323,4.56306,44.99580002,-92.87937927,45.05640411,-92.81349945
21f,Jacksboro Municipal,jacksboro,tx,usa,33.228725,-98.14671083,0.989899,0.989899,33.21844864,-98.15865326,33.21844864,-98.15865326
22i,Vinton County,mcarthur,oh,usa,39.328125,-82.44182167,4.03978,4.03978,39.28229141,-82.39487457,39.28229141,-82.39487457
22m,Pontotoc County,pontotoc,ms,usa,34.27593833,-89.03839694,4.45338,4.45338,34.21146393,-89.03826141,34.21146393,-89.03826141
23m,Clarke County,quitman,ms,usa,32.08487111,-88.73893389,12.3851,12.3851,31.90709877,-88.71253967,31.90709877,-88.71253967
23n,Bayport Aerodrome,bayport,ny,usa,40.75843139,-73.05372083,1.3892,7.09608,40.73843002,-73.05066681,40.65952682,-73.09020996
24n,Jicarilla Apache Nation,dulce,nm,usa,36.828535,-106.8841914,9.65787,9.65787,36.93360138,-106.9991379,36.93360138,-106.9991379
25m,Ripley,ripley,ms,usa,34.72226778,-89.01504944,3.69932,3.69932,34.72981644,-88.95061493,34.72981644,-88.95061493
29s,Gardiner,gardiner,mt,usa,45.04993556,-110.7466008,0.900461,25.9863,41.6798172,-74.15042114,44.71656418,-110.5014877
2a9,Kotlik,kotlik,ak,usa,63.03116111,-163.5299278,14.6674,14.6674,62.89611053,-163.894165,62.89611053,-163.894165
2b9,Post Mills,post mills,vt,usa,43.884235,-72.25370333,5.13539,6.83743,43.81059265,-72.26777649,43.9697876,-72.32259369
2d1,Barber,alliance,oh,usa,40.97089139,-81.09981889,5.94179,10.9167,39.2586174,-90.74473572,44.59415436,-102.4295731
2f5,Lamesa Municipal,lamesa,tx,usa,32.75627778,-101.9194722,2.21732,2.21732,32.73759842,-101.9509888,32.73759842,-101.9509888
2g2,Jefferson County Airpark,steubenville,oh,usa,40.35944306,-80.70007806,6.32144,6.32144,40.34284592,-80.81813812,40.34284592,-80.81813812
2i0,Madisonville Municipal,madisonville,ky,usa,37.35502778,-87.39963889,9.27302,9.27302,30.91769028,-96.10829163,30.91769028,-96.10829163
2j3,Louisville Municipal,louisville,ga,usa,32.98654083,-82.38568139,4.60812,4.60812,33.03804016,-82.43614197,33.03804016,-82.43614197
2m3,Sallisaw Municipal,sallisaw,ok,usa,35.43816667,-94.80277778,1.75929,1.75929,35.46037292,-94.78744507,35.46037292,-94.78744507
2m4,G. V. Montgomery,forest,ms,usa,32.35347778,-89.48867944,9.681,9.681,32.35375595,-89.65451813,32.35375595,-89.65451813
2o6,Chowchilla,chowchilla,ca,usa,37.11244417,-120.2468406,2.17287,2.17287,37.11220169,-120.2864227,37.11220169,-120.2864227
2o7,Independence,independence,ca,usa,36.81382111,-118.2050956,18.4572,18.4572,36.60937119,-118.4193573,36.60937119,-118.4193573
2o8,Hinton Municipal,hinton,ok,usa,35.50592472,-98.34236111,2.49505,2.49505,35.47144318,-98.35561371,35.47144318,-98.35561371
2p2,Washington Island,washington island,wi,usa,45.38620833,-86.92448056,1.40204,1.40204,45.37583542,-86.89967346,45.37583542,-86.89967346
2r0,Waynesboro Municipal,waynesboro,ms,usa,31.64599472,-88.63475667,10.3618,10.3618,31.56877518,-88.48390961,31.56877518,-88.48390961
2r5,St Elmo,st elmo,al,usa,30.50190833,-88.27511667,4.72351,4.72351,30.47221565,-88.34654236,30.47221565,-88.34654236
2s1,Vashon Municipal,vashon,wa,usa,47.45815333,-122.4773506,0.958958,0.958958,47.44805145,-122.4606705,47.44805145,-122.4606705
2s7,Chiloquin State,chiloquin,or,usa,42.58319167,-121.8761261,0.67007,0.67007,42.57763672,-121.866127,42.57763672,-121.866127
2s8,Wilbur,wilbur,wa,usa,47.75320639,-118.7438936,1.76782,1.76782,47.75876236,-118.7055588,47.75876236,-118.7055588
2v2,Vance Brand,longmont,co,usa,40.16367139,-105.1630369,7.06001,7.06001,40.2244339,-105.2705307,40.2244339,-105.2705307
2v5,Wray Municipal,wray,co,usa,40.10032333,-102.24096,1.93451,12.874,40.07582474,-102.2232513,40.01634979,-102.458252
2y4,Rockwell City Municipal,rockwell city,ia,usa,42.38748056,-94.61803333,0.97143,11.7942,42.39525604,-94.63386536,42.55109024,-94.68386841
32m,Norfolk,norfolk,ma,usa,42.12787528,-71.37033556,1.2687,1.2687,42.12678909,-71.3453064,42.12678909,-71.3453064
32s,Stevensville,stevensville,mt,usa,46.52511111,-114.0528056,2.2147,2.2147,46.51040649,-114.0943832,46.51040649,-114.0943832
34a,Laurens County,laurens,sc,usa,34.50705556,-81.94719444,3.9801,8.21398,34.46464539,-81.99440765,34.56177902,-82.07529449
35a,"Union County, troy shelton",union,sc,usa,34.68680111,-81.64121167,,,,,,
36k,Lakin,lakin,ks,usa,37.96946389,-101.2554472,1.99919,1.99919,37.94057465,-101.2548904,37.94057465,-101.2548904
38u,Wayne Wonderland,loa,ut,usa,38.36247972,-111.5960164,8.37677,8.37677,38.28549957,-111.4766846,38.28549957,-111.4766846
3a0,Grove Hill Municipal,grove hill,al,usa,31.68932389,-87.7613875,1.63585,1.63585,31.70876884,-87.77722168,31.70876884,-87.77722168
3a1,Folsom,cullman,al,usa,34.26870833,-86.85833611,1.19514,1.19514,39.60206223,-74.84266663,39.60206223,-74.84266663
3a2,New Tazewell Municipal,tazewell,tn,usa,36.41008417,-83.55546167,3.14716,9.20946,36.45425034,-83.5693512,36.28092194,-83.51490021
3b0,Southbridge Municipal,southbridge,ma,usa,42.10092806,-72.03840833,1.80162,2.13037,42.07509613,-72.03340912,42.10842896,-72.07868958
3b9,Chester,chester,ct,usa,41.38390472,-72.50589444,3.48631,3.48631,41.3581543,-72.56370544,41.3581543,-72.56370544
3bs,Jack Barstow,midland,mi,usa,43.66291528,-84.261325,6.13368,8.34122,43.67280579,-84.3805542,43.78166199,-84.2277298
3ck,Lake In The Hills,lake in the hills,il,usa,42.20680306,-88.32304028,1.77576,1.77576,42.18169022,-88.33036041,42.18169022,-88.33036041
3gm,Grand Haven Memorial Airpark,grand haven,mi,usa,43.03404639,-86.1981625,2.52236,2.52236,43.0630722,-86.22838593,43.0630722,-86.22838593
3m7,Lafayette Municipal,lafayette,tn,usa,36.518375,-86.05828083,10.6923,10.6923,36.3908844,-86.16721344,36.3908844,-86.16721344
3m9,Warren Municipal,warren,ar,usa,33.56044333,-92.08538861,9.38344,17.9121,33.44650269,-92.17402649,33.32789612,-92.22264099
3n6,Old Bridge,old bridge,nj,usa,40.32988667,-74.34678694,2.73196,2.73196,40.34105301,-74.29705048,40.34105301,-74.29705048
3n8,Mahnomen County,mahnomen,mn,usa,47.25996056,-95.92809778,7.2652,11.9721,47.33135986,-95.81429291,47.09662628,-95.84337616
3nd0,Northwood Municipal,northwood,nd,usa,47.72423333,-97.59042222,1.00282,1.00282,43.44412613,-93.22103882,43.44412613,-93.22103882
3o1,Gustine,gustine,ca,usa,37.26271722,-120.9632586,2.00008,2.00008,37.25771713,-120.9988174,37.25771713,-120.9988174
3o5,Walters Municipal,walters,ok,usa,34.37258444,-98.40588583,5.92177,5.92177,34.29078674,-98.37506866,34.29078674,-98.37506866
3o7,Hollister Municipal,hollister,ca,usa,36.89334528,-121.4102706,7.80903,7.80962,36.8455162,-121.5379868,36.84551239,-121.5379944
3s4,Illinois Valley,illinois valley (cave junction),or,usa,42.10372417,-123.6822911,2.75767,4.47683,42.0671196,-123.703476,42.16334534,-123.647934
3s8,Grants Pass,grants pass,or,usa,42.51011722,-123.3879894,1.69476,1.69476,42.5173378,-123.4197845,42.5173378,-123.4197845
3t5,Fayette Regional Air Center,la grange,tx,usa,29.90930556,-96.9505,4.39775,4.39775,29.90550423,-96.87664795,29.90550423,-96.87664795
3tr,Jerry Tyler Memorial,niles,mi,usa,41.83590806,-86.22517611,1.55131,1.55131,41.82976913,-86.25417328,41.82976913,-86.25417328
3wo,Shawano Municipal,shawano,wi,usa,44.78777778,-88.56152444,3.10522,3.10522,44.82741928,-88.53134918,44.82741928,-88.53134918
3y3,Winterset Madison County,winterset,ia,usa,41.36276778,-94.02106194,1.9813,1.9813,41.33457947,-94.01438904,41.33457947,-94.01438904
41u,Manti-Ephraim,manti,ut,usa,39.32912833,-111.6146397,8.35836,8.35836,39.42251968,-111.7143555,39.42251968,-111.7143555
42c,White Cloud,white cloud,mi,usa,43.55974139,-85.77421944,3.44188,8.92725,43.51212311,-85.79449463,43.6852951,-85.81588745
42j,Keystone Airpark,keystone heights,fl,usa,29.84475,-82.04752778,4.1638,5.18679,29.7860775,-82.03148651,29.86453247,-82.13095856
47n,Central Jersey Regional,manville,nj,usa,40.52438417,-74.59839194,1.80886,1.80886,40.49927139,-74.58876801,40.49927139,-74.58876801
48a,Cochran,cochran,ga,usa,32.39936111,-83.27591667,4.67471,4.67471,32.38682938,-83.35460663,32.38682938,-83.35460663
48i,Braxton County,sutton,wv,usa,38.68704444,-80.65176083,3.48103,6.49924,38.6641655,-80.70930481,38.60204697,-80.70343018
49a,Gilmer County,ellijay,ga,usa,34.62786417,-84.52492889,5.74135,8.04031,34.68597794,-84.45269775,34.62647629,-84.38353729
49y,Fillmore County,preston,mn,usa,43.67676,-92.17973444,4.87495,4.87495,43.73996353,-92.13626862,43.73996353,-92.13626862
4b7,Schroon Lake,schroon lake,ny,usa,43.86256083,-73.74262972,1.88995,6.27233,43.83867264,-73.76096344,43.95278931,-73.7285614
4c8,Albia Municipal,albia,ia,usa,40.99445361,-92.76297194,3.14894,3.14894,41.02667618,-92.80574799,41.02667618,-92.80574799
4d0,Abrams Municipal,grandledge,mi,usa,42.77420167,-84.73309806,1.58952,1.58952,42.75336838,-84.74637604,42.75336838,-84.74637604
4i9,Morrow County,mt. gilead,oh,usa,40.52452778,-82.85005556,2.08353,6.01489,40.54922485,-82.82740021,40.45743561,-82.77716827
4j1,Brantley County,nahunta,ga,usa,31.21272417,-81.90539083,4.46351,9.41372,31.20438957,-81.98122406,31.33660889,-81.95622253
4j6,St Marys,st marys,ga,usa,30.75468028,-81.55731917,1.71743,8.42999,30.73051453,-81.54649353,30.79995537,-81.68982697
4k6,Bloomfield Municipal,bloomfield,ia,usa,40.73210556,-92.42826889,1.94945,1.94945,42.59889221,-97.64562225,42.59889221,-97.64562225
4n1,Greenwood Lake,west milford,nj,usa,41.12854806,-74.34584611,1.09602,2.09509,41.13120651,-74.36737823,41.14176178,-74.31070709
4r1,I H Bass Jr Memorial,lumberton,ms,usa,31.01546028,-89.48256556,2.06163,9.96654,31.00107384,-89.45213318,31.14433479,-89.4069519
4r5,Madeline Island,la pointe,wi,usa,46.78865556,-90.75866944,1.47677,1.47677,46.77910614,-90.78657532,46.77910614,-90.78657532
4r9,Dauphin Island,dauphin island,al,usa,30.26048083,-88.12749972,6.63201,6.63201,30.22818756,-88.02291107,30.22818756,-88.02291107
4s3,Joseph State,joseph,or,usa,45.35709583,-117.2532244,1.23738,1.23738,45.35459518,-117.229538,45.35459518,-117.229538
4v1,Johnson,walsenburg,co,usa,37.69640056,-104.7838747,2.16305,9.33357,41.81089783,-78.27973175,41.80910873,-78.44626617
50r,Lockhart Municipal,lockhart,tx,usa,29.85033333,-97.67241667,8.38295,8.38295,29.92744446,-97.5644455,29.92744446,-97.5644455
52j,Lee County,bishopville,sc,usa,34.24459889,-80.23729333,1.01844,6.10575,36.75842285,-83.02711487,36.73591995,-83.25934601
53a,"Dr. C.P. Savage, sr.",montezuma,ga,usa,32.302,-84.00747222,,,,,,
53k,Osage City Municipal,osage city,ks,usa,38.63334222,-95.80859806,8.45041,8.45041,38.75389481,-95.83498383,38.75389481,-95.83498383
54j,Defuniak Springs,defuniak springs,fl,usa,30.7313,-86.15160833,2.27539,2.27539,30.72102356,-86.11521912,30.72102356,-86.11521912
55s,Packwood,packwood,wa,usa,46.60400083,-121.6778664,15.1289,15.1289,46.75816727,-121.4511948,46.75816727,-121.4511948
56s,Seaside Municipal,seaside,or,usa,46.01649694,-123.9054167,1.76523,1.76523,45.99324417,-123.9202118,45.99324417,-123.9202118
57b,Islesboro,islesboro,me,usa,44.30285556,-68.91058722,5.06912,5.87414,44.28118896,-69.0086441,44.33146667,-68.79891968
57c,East Troy Municipal,east troy,wi,usa,42.79711111,-88.3725,1.84229,1.86102,42.78529358,-88.40509796,42.78518677,-88.40543365
5a9,Roosevelt Memorial,warm springs,ga,usa,32.93346222,-84.68881639,6.72994,7.24551,33.02873611,-84.71298218,33.03735733,-84.67178345
5b3,Danielson,danielson,ct,usa,41.81974056,-71.90096306,1.4147,3.32751,41.80259705,-71.8859024,41.7881546,-71.94979858
5d3,Owosso Community,owosso,mi,usa,42.99297222,-84.1389125,1.3133,1.93619,42.98197174,-84.11774445,42.99780655,-84.17663574
5f4,Homer Municipal,homer,la,usa,32.78850806,-93.00366083,2.67527,2.67527,32.7890358,-92.95765686,32.7890358,-92.95765686
5g7,Bluffton,bluffton,oh,usa,40.88544444,-83.86863889,1.26026,1.26026,40.89532852,-83.88883209,40.89532852,-83.88883209
5g9,Toledo Suburban,lambertville,mi,usa,41.7358775,-83.65541056,2.5082,2.5082,41.76588058,-83.62799072,41.76588058,-83.62799072
5i4,Sheridan,sheridan,in,usa,40.17792583,-86.21729889,2.9672,2.9672,40.13503647,-86.22055054,40.13503647,-86.22055054
5m4,Fordyce Municipal,fordyce,ar,usa,33.84593722,-92.36542861,12.9777,12.9777,33.92649078,-92.16125488,33.92649078,-92.16125488
5r8,De Quincy Industrial Airpark,de quincy,la,usa,30.44117222,-93.47349722,2.48441,2.48441,30.4504776,-93.43321991,30.4504776,-93.43321991
5v5,Shiprock Airstrip,shiprock,nm,usa,36.6977775,-108.7011986,6.18413,28.1706,36.78630447,-108.6845551,36.99863815,-109.0446777
5w8,Siler City Municipal,siler city,nc,usa,35.7029175,-79.50529972,2.98979,2.98979,35.72751617,-79.45924377,35.72751617,-79.45924377
61b,Boulder City Municipal,boulder city,nv,usa,35.94748028,-114.8610967,2.67623,8.36557,35.97859192,-114.8324814,36.01606369,-114.7377319
61c,Fort Atkinson Municipal,fort atkinson,wi,usa,42.96320278,-88.81762806,4.82101,4.82101,43.02246857,-88.76730347,43.02246857,-88.76730347
61s,Cottage Grove State,cottage grove,or,usa,43.79984528,-123.0289678,0.847246,9.83454,43.80195236,-123.045723,43.72114944,-122.8648071
62s,Christmas Valley,christmas valley,or,usa,43.23653139,-120.6660967,1.08981,1.08981,43.23770905,-120.6875839,43.23770905,-120.6875839
65j,Wrens Memorial,wrens,ga,usa,33.222645,-82.38373611,12.2626,12.2626,33.23347855,-82.59540558,33.23347855,-82.59540558
67l,Mesquite,mesquite,nv,usa,36.83497556,-114.0552453,2.26039,2.26039,36.80400848,-114.0680618,36.80400848,-114.0680618
6b0,Middlebury State,middlebury,vt,usa,43.98478278,-73.09594889,8.46076,10.0471,43.88117599,-73.00538635,43.84951019,-73.02205658
6b4,Frankfort-Highland,utica/frankfort,ny,usa,43.02090306,-75.17043861,5.20236,5.20236,43.0389595,-75.07043457,43.0389595,-75.07043457
6b9,Skaneateles Aero Drome,skaneateles,ny,usa,42.91395583,-76.44076889,2.35698,2.44835,42.94701004,-76.42910004,42.90478897,-76.394104
6d8,Barnes County Municipal,valley city,nd,usa,46.94100778,-98.01762611,1.39978,1.39978,46.92331314,-98.00315857,46.92331314,-98.00315857
6g1,Titusville,titusville,pa,usa,41.60880861,-79.74133111,8.65992,8.65992,41.67847061,-79.88066864,41.67847061,-79.88066864
6j2,St George,st george,sc,usa,33.1955,-80.50847222,2.99495,8.09108,56.57400894,-169.583725,33.20571899,-80.64787292
6j4,Saluda County,saluda,sc,usa,33.92680111,-81.79455306,7.93036,7.93036,34.01285172,-81.70307922,34.01285172,-81.70307922
6k4,Fairview Municipal,fairview,ok,usa,36.29014667,-98.47582833,11.6055,11.6055,36.13339233,-98.55058289,36.13339233,-98.55058289
6m8,Marked Tree Municipal,marked tree,ar,usa,35.53341472,-90.40149028,1.17707,1.17707,35.5328598,-90.4206543,35.5328598,-90.4206543
6s0,Big Timber,big timber,mt,usa,45.80638889,-109.9811111,2.32621,2.32621,45.8348999,-109.9553146,45.8348999,-109.9553146
6s5,Ravalli County,hamilton,mt,usa,46.25149444,-114.1255403,1.36607,1.36607,46.24888611,-114.154335,46.24888611,-114.154335
6s8,Laurel Municipal,laurel,mt,usa,45.70308833,-108.7610886,2.40303,10.217,45.66911697,-108.7715302,42.43512344,-96.8792572
6v3,Tazewell County,richlands,va,usa,37.06374667,-81.79826944,5.0054,5.0054,37.07539368,-81.70872498,37.07539368,-81.70872498
72s,Rosalia Municipal,rosalia,wa,usa,47.23683778,-117.4210244,2.40224,2.40224,47.23600388,-117.369812,47.23600388,-117.369812
75j,Turner County,ashburn,ga,usa,31.68545833,-83.63211194,0.831102,1.89594,31.67434692,-83.63739014,31.70597458,-83.65355682
7a0,Greensboro Municipal,greensboro,al,usa,32.68147222,-87.66208333,4.171,4.171,32.70457458,-87.59584045,32.70457458,-87.59584045
