release,year,position,title,artist
20050110,20050110,,6, Fortescue (over the Delaware Bay)  NJ
20050110,20050110,,8.5, Savannah  GA
20050110,20050110,,8.5, Denver (I-25  southbound)  CO
20050110,20050110,,8.2, Marathon  FL
20050111,20050111,,7.1, Modesto  CA
20050111,20050111,,8.8, Lincoln City  OR
20050111,20050111,,9.2, Muskego  WI
20050111,20050111,,5.4, El Paso  TX
20050111,20050111,,10.1, Arbuckle/College City (between)  CA
20050111,20050111,,6.1, Bel Air  MD
20050112,20050112,,8.6, College City  CA
20050112,20050112,,7.6, Lancaster  CA
20050112,20050112,,8.4, Thousand Oaks  CA
20050112,20050112,,7.1, Ashtabula  OH
20050112,20050112,,7.6, Chico  CA
20050112,20050112,,8.6, Belleville  IL
20050112,20050112,,9.1, Greenfield  MA
20050112,20050112,,5.1, Smiths  AL
20050113,20050113,,8.8, Gleneden Beach  OR
20050113,20050113,,8.5, Downers Grove  IL
20050113,20050113,,10.4, Stevens Point  WI
20050113,20050113,,9.2, Milwaukee  WI
20050113,20050113,,9.2, Milwaukee  WI
20050113,20050113,,9.2, Milwaukee  WI
20050113,20050113,,7.9, Lincoln  NE
20050113,20050113,,7, Sumner  WA
20050113,20050113,,5.9, Dallas  TX
20050113,20050113,,8.5, Carlsbad  CA
20050113,20050113,,8.6, Manomet  MA
20050113,20050113,,4.5, Bullet County (I-65)  KY
20050113,20050113,,8.4, Sammamish  WA
20050113,20050113,,8, Fairbanks  AK
20050113,20050113,,8, Fairbanks  AK
20050114,20050114,,3.8, Lexington  KY
20050114,20050114,,6.5, Mansfield  OH
20050114,20050114,,7.6, New Braunfels  TX
20050114,20050114,,6.5, Wading River  NY
20050114,20050114,,6.2, Peru (near)  IN
20050114,20050114,,6.2, Peru/Kokomo (near)  IN
20050114,20050114,,8.7, Mililani  HI
20050115,20050115,,8.2, Phoenix  AZ
20050115,20050115,,12.4, Manitowoc  WI
20050115,20050115,,9.2, Baker City  OR
20050115,20050115,,5, Elizabeth City  NC
20050115,20050115,,8.4, Ocala (N and S of)  FL
20050115,20050115,,11, Las Vegas  NV
20050115,20050115,,4.9, Atlanta  TX
20050115,20050115,,9.6, Portland  ME
20050115,20050115,,6.4, Morton  IL
20050115,20050115,,5.1, Birmingham  AL
20050115,20050115,,9.6, Riverview  MI
20050115,20050115,,8.8, Kildeer  IL
20050115,20050115,,8.5, Richmond  VA
20050115,20050115,,6.4, Urbana  IL
20050115,20050115,,11, Searchlight  NV
20050115,20050115,,8.4, Manchester  CT
20050116,20050116,,8.2, Phoenix  AZ
20050116,20050116,,8.5, San Diego  CA
20050116,20050116,,7.2, San Antonio  TX
20050116,20050116,,7, Westminster  CO
20050116,20050116,,7.2, South El Monte  CA
20050116,20050116,,7.4, Baytown  TX
20050116,20050116,,8.1, Howell  MI
20050116,20050116,,9.7, West Dover  VT
20050117,20050117,,10.4, Granton  WI
20050117,20050117,,5.4, Olathe  KS
20050117,20050117,,8.5, San Diego  CA
20050117,20050117,,8.6, Chicago  IL
20050117,20050117,,8.2, San Jose  CA
20050118,20050118,,6.2, Oakwood  GA
20050118,20050118,,9.1, Portland  OR
20050118,20050118,,8.3, Mission Viejo  CA
20050118,20050118,,12.7, Hawthorne  CA
20050119,20050119,,6.2, Lewes  DE
20050119,20050119,,9.5, Walton  NY
20050119,20050119,,9.2, Ocala  FL
20050119,20050119,,8.4, Jacksonville  FL
20050120,20050120,,9.3, Brooksville  FL
20050120,20050120,,12.7, Mountain Ranch  CA
20050120,20050120,,7.1, Oxford  CT
20050120,20050120,,6.4, Columbus  MT
20050120,20050120,,9.1, Thetford  VT
20050120,20050120,,7.1, Oxford  CT
20050120,20050120,,4, Bruce  MS
20050120,20050120,,11, Henderson  NV
20050120,20050120,,6, Asheville  NC
20050121,20050121,,7.1, Ashtabula  OH
20050121,20050121,,5.5, Surf City  NC
20050121,20050121,,9.2, Ocala  FL
20050121,20050121,,5, Sentinel  AZ
20050122,20050122,,7, Tacoma  WA
20050122,20050122,,8.3, Rancho Cucamonga  CA
20050122,20050122,,8.1, Cartersville  GA
20050122,20050122,,7.1, Olympia  WA
20050123,20050123,,8.6, Chicago  IL
20050124,20050124,,5.2, Tulsa  OK
20050124,20050124,,7.4, Newtown  CT
20050124,20050124,,6.4, Arden  NC
20050124,20050124,,3.7, Maryville  TN
20050124,20050124,,7.2, San Antonio  TX
20050124,20050124,,7.6, Lake Wales (east of)  FL
20050124,20050124,,7.6, Lake Wales (east of )  FL
20050124,20050124,,8, Wimberley  TX
20050124,20050124,,11, Maui  HI
20050124,20050124,,7.6, Lake Wales (East of)  FL
20050125,20050125,,4.3, New Carrollton  MD
20050125,20050125,,9.5, Great Falls (14 miles north of)  MT
20050125,20050125,,7, Anchorage  AK
20050125,20050125,,4.6, New York City (Brooklyn)  NY
20050125,20050125,,5.8, Fountain Inn  SC
20050125,20050125,,8.3, Center Harbor  NH
20050126,20050126,,7.6, Minneapolis  MN
20050126,20050126,,5.2, Piedmont  SC
20050126,20050126,,3.5, Rogersville  TN
20050126,20050126,,3.1, Morristown  TN
20050126,20050126,,6.1, Saybrook  OH
20050127,20050127,,8.2, Phoenix  AZ
20050127,20050127,,6.1, Abingdon  MD
20050127,20050127,,8.5, Naperville  IL
20050127,20050127,,6.5, State College  PA
20050127,20050127,,6.3, Corsica  PA
20050127,20050127,,5.7, Miami  FL
20050128,20050128,,7.3, Blaine  MN
20050128,20050128,,10.9, Mesa  AZ
20050128,20050128,,10.9, Mesa  AZ
20050128,20050128,,5.2, Hamlet  IN
20050128,20050128,,10.9, Mesa  AZ
20050128,20050128,,10.9, Mesa  AZ
20050128,20050128,,10.9, Mesa  AZ
20050128,20050128,,6.3, Hastings (or Winona)  MN
20050128,20050128,,10.9, Mesa  AZ
20050128,20050128,,8.7, Waianae  HI
20050128,20050128,,8.4, Lyndeborough  NH
20050128,20050128,,5.2, Moultrie  GA
20050129,20050129,,8.9, Orangevale  CA
20050129,20050129,,7.2, Los Angeles  CA
20050129,20050129,,8.3, Carson  CA
20050130,20050130,,7.1, Modesto  CA
20050130,20050130,,10.1, Morgan Hill (12 mi. north of on 101)  CA
20050130,20050130,,7.1, Yelm  WA
20050130,20050130,,7, Mason  OH
20050131,20050131,,8.8, Tallahassee  FL
20050131,20050131,,8.3, Homer Glen  IL
20050131,20050131,,7.4, Hartford  CT
20050131,20050131,,7, Puyallup  WA
20050131,20050131,,9.4, Penn Valley  CA
20050131,20050131,,6, Columbia City  IN
20050131,20050131,,5.9, Commack  NY
20050131,20050131,,6.8, Wood River  NE
20050201,20050201,,8.4, Kent  WA
20050201,20050201,,8.3, Laguna Niguel  CA
20050201,20050201,,8.3, Scituate  RI
20050201,20050201,,7.5, Adamsville  OH
20050201,20050201,,7.5, Adamsville  OH
20050201,20050201,,7.5, Adamsville  OH
20050201,20050201,,7.6, Clarks Summit  PA
20050201,20050201,,8.5, Temecula  CA
20050201,20050201,,11.7, Pinellas Park  FL
20050201,20050201,,4.5, Horn Lake  MS
20050202,20050202,,5.2, Tulsa  OK
20050202,20050202,,6.6, Beacon  NY
20050202,20050202,,8.8, Cedar Falls  IA
20050202,20050202,,10.9, Mesa  AZ
20050202,20050202,,8.4, New Hartford  CT
20050202,20050202,,11.1, Berkeley  CA
20050202,20050202,,8.4, New York City (Brooklyn)  NY
20050202,20050202,,7, Puyallup  WA
20050202,20050202,,6.8, New Iberia  LA
20050202,20050202,,6.5, Hauppauge  NY
20050202,20050202,,8.3, West Covina  CA
20050203,20050203,,8.2, Phoenix  AZ
20050203,20050203,,5.8, Colorado Springs  CO
20050203,20050203,,7.4, Fort Collins  CO
20050203,20050203,,8.4, Myrtle Beach  SC
20050203,20050203,,4.6, Talbott  TN
20050203,20050203,,8.5, Tucson  AZ
20050204,20050204,,8.2, San Jose  CA
20050204,20050204,,6.6, Centreville  VA
20050204,20050204,,4.5, Riverdale  UT
20050204,20050204,,7.5, Port Orchard  WA
20050204,20050204,,6, Newton  IL
20050204,20050204,,7.5, Port Orchard  WA
20050204,20050204,,8.7, Gainesville  FL
20050204,20050204,,7.2, Benson  AZ
20050204,20050204,,8.2, Phoenix  AZ
20050205,20050205,,11.1, Fort Smith  CA
20050205,20050205,,9.4, Honoluu  HI
20050205,20050205,,9.2, Milwaukee  WI
20050205,20050205,,5.4, Monroeville  NJ
20050205,20050205,,4.9, Lexington  NC
20050206,20050206,,6.7, Middletown  PA
20050206,20050206,,7.5, Spokane  WA
20050206,20050206,,7.6, Napa  CA
20050206,20050206,,8.9, Sacramento  CA
20050207,20050207,,8.4, Issaquah  WA
20050207,20050207,,6.6, West Haven  CT
20050207,20050207,,9.7, Biggs  CA
20050207,20050207,,4.3, Branchville  SC
20050207,20050207,,8.2, Phoenix  AZ
20050207,20050207,,7.2, Tujunga  CA
20050208,20050208,,7.1, Chehalis  WA
20050208,20050208,,8.2, San Jose  CA
20050208,20050208,,8.1, Rutland  MA
20050208,20050208,,6.4, Owings Mills  MD
20050208,20050208,,9.5, Pittsburg  NH
20050208,20050208,,7.6, Rittman  OH
20050208,20050208,,7.3, Millican  OR
20050209,20050209,,9.1, Portland  OR
20050209,20050209,,8.5, San Diego  CA
20050209,20050209,,7.7, Boston  MA
20050209,20050209,,8.4, Agoura Hills  CA
20050209,20050209,,6.2, New York City (Manhattan)  NY
20050209,20050209,,11.1, Pittsburg  CA
20050210,20050210,,11.1, Woodland  CA
20050210,20050210,,7.7, Coalville  IA
20050210,20050210,,15.9, Reno  NV
20050210,20050210,,10.4, Waukesha  WI
20050210,20050210,,6.6, Vancouver  WA
20050210,20050210,,8.4, Bellignham  WA
20050210,20050210,,7.2, Baltimore  MD
20050210,20050210,,6.1, Charlotte  NC
20050210,20050210,,6, Plano  TX
20050210,20050210,,6.2, New York City  NY
20050210,20050210,,7.6, Scranton/Dickson  PA
20050211,20050211,,7.1, Shelton  WA
20050211,20050211,,7, Randle  WA
20050211,20050211,,4.6, Hugo  OK
20050211,20050211,,5, Peoria  AZ
20050211,20050211,,8.8, Deltona  FL
20050211,20050211,,6, Brunswick  GA
20050211,20050211,,6.7, Sellersburg  IN
20050212,20050212,,10.4, Waukesha  WI
20050212,20050212,,8.3, Almont  MI
20050212,20050212,,7, Seldon  NY
20050212,20050212,,4.4, Clarksville  TN
20050212,20050212,,9.1, Bellingham  MA
20050212,20050212,,6, Indianapolis  IN
20050212,20050212,,8.5, San Diego  CA
20050212,20050212,,7.8, Jordan  MN
20050212,20050212,,5.1, Stonefort  IL
20050212,20050212,,4.4, Jeffersonville  GA
20050212,20050212,,7.6, Santa Maria  CA
20050212,20050212,,8.4, Coal Valley  IL
20050212,20050212,,8.5, San Diego  CA
20050213,20050213,,6.3, Brownsville  TX
20050213,20050213,,8.1, Dorchester  MA
20050213,20050213,,10.1, Ventura  CA
20050214,20050214,,7.2, Baltimore  MD
20050214,20050214,,8.4, Ephrata  WA
20050214,20050214,,9.3, Friday Harbor  WA
20050214,20050214,,7.7, Boston  MA
20050214,20050214,,5.5, Fort Smith  AR
20050214,20050214,,8.9, Redmond  OR
20050214,20050214,,4.3, Rockport  TX
20050214,20050214,,4, Grand Isle  LA
20050214,20050214,,8.4, Moses Lake  WA
20050215,20050215,,5.8, Harrisburg  PA
20050215,20050215,,5.8, Harrisburg  PA
20050215,20050215,,3.8, New Hope  KY
20050215,20050215,,3.2, Stanford  KY
20050215,20050215,,11.9, Sarasota  FL
20050215,20050215,,3.6, Parkersburg  WV
20050215,20050215,,9.3, Stanwood  WA
20050215,20050215,,7.5, Seattle  WA
20050215,20050215,,5.3, Ellinwood  KS
20050215,20050215,,4.2, Lancaster  SC
20050215,20050215,,11.1, Riverside  CA
20050216,20050216,,7.7, Brighton  IA
20050216,20050216,,8.3, San Bernardino  CA
20050216,20050216,,7.8, Golden Valley  MN
20050216,20050216,,4.1, Lakin  WV
20050217,20050217,,5.9, Raleigh  NC
20050217,20050217,,4.3, Sandersville  GA
20050217,20050217,,8.5, Borrego Springs  CA
20050217,20050217,,8.2, Paradise Valley  AZ
20050217,20050217,,7.6, Minneapolis/St. Paul  MN
20050217,20050217,,5.9, Glen Cove  NY
20050217,20050217,,4.5, Louisville  KY
20050217,20050217,,5.4, Nashville  TN
20050217,20050217,,5.5, Tucker  GA
20050217,20050217,,10.4, Mukwonago  WI
20050218,20050218,,4.2, Cullman  AL
20050218,20050218,,7, Peru  IN
20050218,20050218,,14.7, Beatty  NV
20050218,20050218,,11, Las Vegas  NV
20050218,20050218,,5.1, Rockwell  NC
20050218,20050218,,7, Batavia (near)  NY
20050218,20050218,,5, Bridgewater  NJ
20050218,20050218,,6.4, Kokomo  IN
20050218,20050218,,8.6, Collinsville  IL
20050219,20050219,,8, Leesburg  FL
20050219,20050219,,6.5, Terre Haute  IN
20050219,20050219,,7.8, Fredericksburg  VA
20050219,20050219,,6.2, Rockville  MD
20050219,20050219,,7.2, Rochester  NY
20050219,20050219,,5.5, Cleburne  TX
20050219,20050219,,7.9, Clayton  DE
20050219,20050219,,7.9, Clayton  DE
20050219,20050219,,8.8, Altamonte Springs  FL
20050219,20050219,,6.7, Kissimmee  FL
20050219,20050219,,9.7, La Veta  CO
20050220,20050220,,6.7, Kissimmee  FL
20050220,20050220,,6.6, Fairfax  VA
20050220,20050220,,5.9, Hicksville  NY
20050220,20050220,,7, Cincinnati  OH
20050220,20050220,,7, Murrells Inlet  SC
20050220,20050220,,7.7, Boston  MA
20050221,20050221,,5.9, North Richland Hills  TX
20050221,20050221,,4.5, Woodward  OK
20050221,20050221,,5.4, New Bern  NC
20050221,20050221,,7.6, Southfield  MI
20050221,20050221,,8.3, Eugene  OR
20050221,20050221,,8.2, Phoenix  AZ
20050222,20050222,,7.5, Granite Falls  WA
20050222,20050222,,10.2, Palo Alto  CA
20050222,20050222,,8.3, Eugene  OR
20050222,20050222,,5.8, Dallas-Frisco (between  enroute)  TX
20050222,20050222,,8.5, Green Valley  AZ
20050222,20050222,,7.6, Raynham  MA
20050222,20050222,,8.8, Kettle Falls  WA
20050222,20050222,,7.6, Brewerton  NY
20050222,20050222,,8.1, Rockford  IL
20050223,20050223,,7.3, Fort Myers  FL
20050223,20050223,,7, Sumner  WA
20050223,20050223,,7.4, Casper  WY
20050223,20050223,,7.9, Bellingham  WA
20050223,20050223,,8.3, Royal Palm Beach  FL
20050223,20050223,,7.1, Modesto  CA
20050223,20050223,,5.6, Columbia  MD
20050223,20050223,,6.1, Chesterfield  VA
20050223,20050223,,8, Tavares  FL
20050223,20050223,,7.5, Shoreline  WA
20050223,20050223,,5.4, Howell  NJ
20050223,20050223,,6, Hoover (Bluff Park)  AL
20050223,20050223,,5.6, Pickens  SC
20050223,20050223,,7.9, Newark  DE
20050223,20050223,,9.9, Edgerton  WI
20050224,20050224,,7, Tacoma  WA
20050224,20050224,,8.4, Ojai  CA
20050224,20050224,,5, Coal Hill  AR
20050224,20050224,,5.6, Edgewater  MD
20050224,20050224,,8.5, Green Valley  AZ
20050224,20050224,,8.4, Bellevue  WA
20050224,20050224,,5, Coal Hill  AR
20050224,20050224,,3.7, Tabiona  UT
20050224,20050224,,5, Coal Hill  AR
20050224,20050224,,7, Peru  IN
20050224,20050224,,5.3, Newton  NJ
20050224,20050224,,8.5, San Marcos  CA
20050225,20050225,,8.7, Seeley Lake  MT
20050225,20050225,,4.9, Biloxi  MS
20050225,20050225,,3.7, Ripley  WV
20050225,20050225,,7.6, San Arden  CA
20050225,20050225,,6.2, Houston  TX
20050225,20050225,,6.5, Terre Haute  IN
20050225,20050225,,7.5, Geneva  NY
20050225,20050225,,7.4, Connersville  IN
20050225,20050225,,6.1, Oceanside  NY
20050225,20050225,,6.6, Glen Ullin  ND
20050225,20050225,,6.4, Rapid City  SD
20050226,20050226,,4.6, Bellerose  NY
20050226,20050226,,9.1, Milwaukie  OR
20050226,20050226,,10.3, Incline Village  NV
20050226,20050226,,7.6, Oakdale  CA
20050226,20050226,,8.5, Ester  AK
20050226,20050226,,9.2, Nevada (rural desert)  NV
20050226,20050226,,5.1, Fayetteville/New Athens  IL
20050226,20050226,,7.9, Lincoln  NE
20050226,20050226,,7.2, Ridgecrest  CA
20050226,20050226,,4.5, Jonesboro  AR
20050227,20050227,,15.9, Reno  NV
20050227,20050227,,5.9, Bedford  TX
20050227,20050227,,7.6, Ann Arbor  MI
20050227,20050227,,6.9, Barneveld  NY
20050227,20050227,,5.3, New York City (Staten Island)  NY
20050227,20050227,,7.2, Palmdale  CA
20050227,20050227,,3.8, Lexington  KY
20050227,20050227,,7, Boise  ID
20050227,20050227,,7.5, Seattle  WA
20050227,20050227,,7.6, Winchester  CA
20050227,20050227,,9.3, Denver DIA  CO
20050228,20050228,,6.8, Wellington  FL
20050228,20050228,,7.8, Big Timber  MT
20050228,20050228,,3.2, Sevierville  TN
20050228,20050228,,6.3, La Grande  OR
20050228,20050228,,4.9, Harrisonville  MO
20050301,20050301,,7, Sumner  WA
20050301,20050301,,11, Las Vegas  NV
20050301,20050301,,6.2, Humble  TX
20050301,20050301,,10.1, Newport Beach/ Laguna Beach  CA
20050301,20050301,,5.5, Marked Tree  AR
20050301,20050301,,5.7, Wayne  NJ
20050301,20050301,,5.9, Amarillo  TX
20050301,20050301,,8, DeWitt  IA
20050301,20050301,,6, Manassas  VA
20050301,20050301,,8.7, Weston  FL
20050301,20050301,,12.1, Palatka  FL
20050301,20050301,,5.4, El Paso  TX
20050301,20050301,,9.5, Rockford  MI
20050302,20050302,,7.7, Maumee  OH
20050302,20050302,,8.7, Gainesville  FL
20050302,20050302,,8, Okeechobee  FL
20050302,20050302,,8, Okeechobee  FL
20050302,20050302,,8.1, Oaklawn - Hickory Hills  IL
20050302,20050302,,5.1, Oakforest  IL
20050302,20050302,,9.1, Milton  MA
20050302,20050302,,5.1, Galatia Area (Harco)  IL
20050302,20050302,,6.3, Preston  MO
20050302,20050302,,4.3, Atlanta  GA
20050302,20050302,,12.6, San Rafael  CA
20050302,20050302,,10.7, Atascadero  CA
20050302,20050302,,7.4, Bethel  OH
20050302,20050302,,7.4, Bethel  OH
20050303,20050303,,7.5, Parma  OH
20050303,20050303,,8.2, Phoenix  AZ
20050303,20050303,,6.7, Monroe  WA
20050303,20050303,,8.2, Phoenix  AZ
20050303,20050303,,7, Boise  ID
20050303,20050303,,7.1, Holland  MI
20050303,20050303,,3.2, Murray (near)  KY
20050303,20050303,,7.6, Auburndale  FL
20050303,20050303,,8.3, Hayward  CA
20050303,20050303,,10.1, Imperial  CA
20050304,20050304,,8, Fairbanks  AK
20050304,20050304,,8.9, Sacramento  CA
20050304,20050304,,5.9, Albion  NY
20050304,20050304,,2.8, Markham  VA
20050304,20050304,,7.9, North Carolina (in flight)  NC
20050304,20050304,,8.7, Plymouth  NH
20050304,20050304,,7.6, Seville  OH
20050305,20050305,,5.9, Dallas  TX
20050305,20050305,,7.4, Niles  OH
20050305,20050305,,6.3, Grand Marais  MN
20050305,20050305,,11.1, Pittsburg  CA
20050305,20050305,,4.7, Fayetville  TN
20050305,20050305,,9.5, Elmira  NY
20050305,20050305,,12, California  CA
20050306,20050306,,6.5, Terre Haute  IN
20050306,20050306,,5.5, Follansbee  WV
20050306,20050306,,6.5, Terre Haute  IN
20050306,20050306,,7.7, Schroon Lake  NY
20050306,20050306,,8.7, Great Falls  MT
20050306,20050306,,10.4, Granby  VT
20050306,20050306,,5.4, Howell  NJ
20050307,20050307,,8.4, Seatac  WA
20050307,20050307,,7.5, Mason City  IA
20050307,20050307,,7.6, Lancaster  CA
20050307,20050307,,7.2, San Antonio  TX
20050307,20050307,,8.2, Galesburg  IL
20050307,20050307,,9.1, Bozeman  MT
20050307,20050307,,8.4, Westport  CT
20050307,20050307,,5.6, Hernando (the outskirts)  MS
20050307,20050307,,10.1, Alturas  CA
20050307,20050307,,10.1, Alturas  CA
20050307,20050307,,8.4, Ontario  OR
20050308,20050308,,7.2, Victorville  CA
20050308,20050308,,9.1, Grants Pass  OR
20050308,20050308,,4, Idaho Falls  ID
20050308,20050308,,5.3, Claflin  KS
20050308,20050308,,7.5, Seattle  WA
20050308,20050308,,8.1, Yuba City  CA
20050308,20050308,,11.3, Downieville  CA
20050308,20050308,,5.4, Mesquite  TX
20050308,20050308,,5.3, Belfair  WA
20050308,20050308,,5, Tacna/Yuma (Between   at mile markers 94  63  35  21)  AZ
20050308,20050308,,5.4, El Paso  TX
20050308,20050308,,6.6, Atglen  PA
20050308,20050308,,7.6, West St. Paul  MN
20050309,20050309,,5.7, Paragon  IN
20050309,20050309,,5, Coal Hill  AR
20050309,20050309,,7.4, Camp Hill  PA
20050309,20050309,,11, Las Vegas  NV
20050309,20050309,,4.4, Yorktown  VA
20050309,20050309,,6.2, Coydon  IN
20050309,20050309,,9.1, Thetford  VT
20050309,20050309,,8.3, West Palm Beach  FL
20050309,20050309,,6.8, Virginia Beach  VA
20050309,20050309,,6.8, Wellington  FL
20050309,20050309,,4.8, Clear Lake  TX
20050309,20050309,,4.9, Partlow  VA
20050310,20050310,,9.1, Portland  OR
20050310,20050310,,7.3, Parlin  NJ
20050310,20050310,,6.2, Latham  NY
20050310,20050310,,7.9, Bellingham  WA
20050310,20050310,,9.7, Worley  ID
20050310,20050310,,6.6, Emmett  ID
20050310,20050310,,6.6, Kelso  WA
20050310,20050310,,13, Superior  WI
20050310,20050310,,7.5, Bainbridge Island  WA
20050310,20050310,,6, Baltimore BWI Airport  MD
20050310,20050310,,7.7, Castleton  NY
20050310,20050310,,9.7, Palm Coast  FL
20050310,20050310,,7.6, Lancaster  CA
20050310,20050310,,5.1, Laguna Pueblo  NM
20050311,20050311,,10.2, Daly City  CA
20050311,20050311,,4.9, Eustace  TX
20050311,20050311,,4, Canton  MS
20050311,20050311,,5.4, Headland  AL
20050311,20050311,,8, Des Moines  IA
20050311,20050311,,8.6, Chicago  IL
20050311,20050311,,7.6, Mill Valley  CA
20050311,20050311,,7.4, Hillsboro  OR
20050312,20050312,,6.3, Portland  OR
20050312,20050312,,6.3, La Grande  OR
20050312,20050312,,9.1, Tigard  OR
20050312,20050312,,9.3, Lopez Island  WA
20050312,20050312,,2.9, Johnson City  TN
20050312,20050312,,8.1, Joyce  WA
20050312,20050312,,6.6, Gambrills  MD
20050312,20050312,,6.3, Clatskanie  OR
20050312,20050312,,11.1, Millville  CA
20050312,20050312,,7.2, Florence  OR
20050312,20050312,,8.4, Kelso/Pt. Townsend  WA
20050312,20050312,,6.3, Coquitlam/Vancouver (Canada)  BC
20050312,20050312,,6.9, Hood River  OR
20050312,20050312,,9.1, Multnomah Village  OR
20050312,20050312,,7.5, Seattle  WA
20050312,20050312,,7.3, Ashland  OR
20050312,20050312,,3.3, Ledbetter  KY
20050312,20050312,,7.1, Basom  NY
20050312,20050312,,9.9, New Glarus  WI
20050312,20050312,,11, Kelseyville  CA
20050313,20050313,,11, Boulder City  NV
20050313,20050313,,5.9, Richland  WA
20050313,20050313,,7.7, Cranston  RI
20050313,20050313,,7.1, Lacey  WA
20050313,20050313,,7.1, Walker  MN
20050313,20050313,,6.7, Kenmore  WA
20050313,20050313,,6.9, Metairie  LA
20050313,20050313,,5.9, Gettysburg  PA
20050313,20050313,,7.1, Holland  MI
20050314,20050314,,6.7, Liberty  MO
20050314,20050314,,2.6, Bluefield  WV
20050314,20050314,,7.3, Matawan  NJ
20050314,20050314,,5.6, York  NY
20050314,20050314,,5.3, Suffolk (city of)  VA
20050314,20050314,,8.3, San Pedro  CA
20050314,20050314,,6.1, Columbia  MS
20050314,20050314,,6.1, Columbia  MS
20050314,20050314,,5, Guntersville  AL
20050314,20050314,,6.7, Philadelphia  PA
20050314,20050314,,5.7, Miami  FL
20050315,20050315,,5.9, Fort Worth  TX
20050315,20050315,,7.9, Kennebec  ME
20050315,20050315,,11.1, Garden Grove  CA
20050315,20050315,,5, Fresno  GA
20050315,20050315,,8.4, Yucca Valley  CA
20050315,20050315,,5.8, Grantville  PA
20050315,20050315,,10.3, Beaver Dam  WI
20050315,20050315,,5.2, Springfield  MO
20050315,20050315,,7.7, Mayfield  NY
20050315,20050315,,6.1, Sherrodsville  OH
20050315,20050315,,4.2, Hanceville  AL
20050315,20050315,,7.6, Paradise  CA
20050315,20050315,,9.4, Jefferson County  WI
20050315,20050315,,11, Las Vegas  NV
20050315,20050315,,6.9, Las Vegas (?)  NE
20050315,20050315,,6, San Marcos  TX
20050315,20050315,,8.2, Grand Junction  CO
20050316,20050316,,7.5, Somerville  NJ
20050316,20050316,,7.5, Somerville  NJ
20050316,20050316,,7.9, East Hampton  CT
20050316,20050316,,6.3, Grandview  MO
20050316,20050316,,2.8, Coopertown  TN
20050316,20050316,,5.9, Port Royal  PA
20050316,20050316,,7.3, Auburn/Lewiston  ME
20050316,20050316,,6.8, West Lafayette  IN
20050316,20050316,,3.1, Bulls Gap  TN
20050317,20050317,,7.5, Naples  FL
