location	longitude	latitude
 Petaluma, CA	-122.606122413	38.270022
 San Diego, CA	-117.1627714	32.7174209
 Waglisla (Canada), BC	-128.143476	52.1615129
 Kentville (Canada), NS	-64.495212	45.0784875
 Pottstown, PA	-75.6496424	40.2452976
 Hannover (Germany),	9.7385532	52.3744779
 Albuquerque, NM	-106.6509851	35.0841034
 Mount Laurel, NJ	-74.8909988	39.934002
 Blaine, MN	-93.2349489	45.1607987
 Los Angeles, CA	-118.244476	34.054935
 ((name of town deleted)), OK	-97.2684063	34.9550817
 El Dorado Hills, CA	-121.059366049	38.67950505

 Jerome, AZ	-112.1137716	34.7489107
 Chiloquin, OR	-121.866126	42.577636
 Sparta, NJ	-74.6310081	41.0401567
 Orlando, FL	-81.3794368	28.5423999
 Modesto, CA	-120.9968782	37.6390972

 Georgia (off the coast of), GA	-84.0620429	33.9942488
 Toronto (Canada), ON	-79.3393922243	43.847566
 Hanson, MA	-70.8800423	42.0751013
 LaMesa, CA	-122.041917	37.902259

 Napoleonville, LA	-91.0248214	29.9404803
 Quesnel (Canada), BC	-122.494812	52.976762
 Sikeston, MO	-89.5878579	36.876719
 Interlachen, FL	-81.8903684	29.6238574
 Netherlands,	5.53460738162	52.2379891
 Mesquite, TX	-96.599472	32.7666103
 Newton, KS	-97.3447244	38.0469166
 Rosemount, MN	-93.12611	44.7391873
 Edmond, OK	-97.4649038	35.6571367

 Houston, TX	-95.3676974	29.7589382
 Grinnell, IA	-92.7224206	41.7430554
 Schenectady, NY	-73.9395687	42.8142432
 Alhambra, CA	-118.12706	34.093042
 Mohawk Valley, AZ	-113.7552022	32.7267144
 Homer, AK	-151.5401477	59.6440876
 Astoria, OR	-123.831256	46.187885
 Lapine, OR	-122.9422263	42.3403144
 Longmont, CO	-105.1019287	40.1672117
 Tacoma (northeast), WA	-122.4398746	47.2495798
 Loomis, WA	-124.0482158	46.4362102
 Los Molinos, CA	-122.090276237	40.01727265
 Douglassville, PA	-75.7263008	40.2578714
 Bozeman, MT	-111.044675	45.679984

 Brunswick, OH	-81.8275398	41.2456819
 Winslow, AR	-94.1349259	35.8009145
 Erie, PA	-80.0852421	42.1290657
 Bellingham, WA	-122.4788602	48.754402
 Cullman, AL	-86.8435802	34.1748408
 Lenexa, KS	-94.733734	38.953669
 Putnam Valley, NY	-73.8740252	41.3359272
 Williamsville, NY	-78.7377258	42.9637836
 Oak Lawn, IL	-87.7581081	41.7108662
 West Manchester, OH	-84.6263432	39.9025504
 Bozeman, MT	-111.044675	45.679984
 Cleveland, OH	-81.6934446	41.5051613
 Denton, TX	-97.1413417	33.1838787
 Las Vegas, NV	-115.149225	36.1662859
 Laurel, MD	-76.8483061	39.0992752
 Ellensburg, WA	-120.5451223	46.9970635
 Alma, WI	-91.9148839	44.3199654
 Greenville, NC	-77.3663538	35.612661
 Stroudsburg, PA	-75.1946248	40.9867609
 Cleburne, TX	-97.3866837	32.3476438
 Wabasca (Canada), AB	-113.8355867	55.9687244
 Gila Bend, AZ	-112.7168239	32.9478267
 Bradenton, FL	-82.5748194	27.4989278
 Ridgway, PA	-78.7286388	41.4203391
 Kalamazoo, MI	-85.5872286	42.291707
 Chandler, AZ	-111.8408489	33.3067132
 South Amboy, NJ	-74.2907363	40.4782514
 Port Sydney (Canada), ON	-79.2935709	45.2209022
 Glens Falls, NY	-73.644447	43.309941
 Lares (Puerto Rico), PR	-66.8907369	18.2479669
 San Antonio, TX	-98.4951405	29.4246002
 Las Vegas, NV	-115.149225	36.1662859
 Kent, WA	-122.2270272	47.3826903
 Fort Meade, MD	-76.7476152975	39.10517
 Brinktown, MO	-92.0846142	38.1267064
 Buckeye, AZ	-112.572688055	33.377888
 Gilbert, AZ	-111.7890239	33.3528259
 Caldwell, ID	-116.6894156	43.6678736
 Ipswich (UK/England),	1.1526345	52.0579495
 Kamiah, ID	-116.0290222	46.2270934
 Glendale, AZ	-112.404683064	33.558997
 Katy, TX	-95.8243956	29.7857853
 Parker Canyon Lake, AZ	-110.456835677	31.43030595
 Belleville (Canada), ON	-77.387695	44.162504
 San Luis Obispo, CA	-120.6596156	35.2827525
 Columbus Grove, OH	-84.0568896	40.9194961
 Ray Center, MI	-82.9013157	42.7616975
 Guatamala,	-89.8988087	15.6356088
 Eureka, CA	-85.9373384358	79.98855485
 Lake Worth, FL	-80.0569927	26.6159698

 Glenwood, IL	-87.6022658	41.5425349

 Pompton Plains, NJ	-74.2957043	40.9681536
 Arnolds Park, IA	-95.1238841	43.3727408
 Placerville, CA	-120.798546	38.7296252
 Banff National Park (Canada), AB	-115.938049752	51.4881335
 Leeds (UK/England),	-1.5437941	53.7974185
 Cass City, MI	-83.174669	43.600852
 Dulce, NM	-106.9991367	36.9335998
 Woodland, CA	-82.3881944	43.0001747
 France (massif maures southern),	1.8883335	46.603354
 Auckland (New Zealand),	174.7655514	-36.8534665
 Unknown, AZ	-110.8967524	32.3082382
 Homer, LA	-151.5401477	59.6440876
 Mayaguez (Puerto Rico), PR	-67.1687208	18.179284
 New Holland (rural), IL	-89.580938	40.1847671
 Plymouth (rural), OH	-82.3337322	36.3000159
 Brooklyn Park, MN	-93.3443585	45.1004807
 Edgewood, WA	-91.4007896	42.6449174
 Tulsa/Oklahoma City (midway between), OK	-97.5933734	35.4417263
 Phoenix, AZ	-112.0773456	33.4485866

 Jackson, MI	-90.1847691	32.2990384
 Dalton, GA	-84.9702475	34.7691867
 Pickering (Canada), ON	-79.072747	43.8494807
 Roslindale, MA	-71.1244966	42.2912093
 Chandler, AZ	-111.8408489	33.3067132
 Center Barnstead, NH	-71.2595107	43.339247
 Boulder, CO	-105.2705456	40.0149856
 Barnsdall, OK	-96.1616673	36.5620247
 Walnut Creek, CA	-135.1211815	60.7614676
 Oakham, MA	-72.0453544	42.3528688
 Edwardsville, IL	-89.953157	38.8114364
 Rockford, IL	-89.093966	42.2713945
 St. Louis, MO	-90.2416548	38.6337716
 Ramona, CA	-71.37693792	46.75674585
 Darrington, WA	-121.6038768	48.252261
 Aptos, CA	-121.8976335	36.9787725
 Beaver, PA	-80.3709999	40.6916624

 Mesa, AZ	-114.0824451	34.2700153
 Omaha, NE	-95.9378732	41.2587317
 Hamburg, MI	-83.8016097	42.4486456
 Camano Island, WA	-122.49502682	48.1625483
 La Mesa, CA	-120.424031	50.675786
 Simi Valley, CA	-118.781482	34.2694474
 Jackson, MI	-90.1847691	32.2990384
 Toronto (Canada), ON	-79.3393922243	43.847566
 Fayetteville, AR	-94.1574328	36.0625843
 Gaithersburg, MD	-77.2013705	39.1434406
 Brocton, MA	-79.441157	42.388669
 Gerrardstown, WV	-78.0955563	39.3703778
 Eagle River, WI	-89.244299	45.917176
 Hong Kong,	114.1628131	22.2793278
 Kilauea, HI	-155.270447	19.4154432
 Dublin, NH	-72.0625817	42.9075823
 Bouse, AZ	-114.029403166	33.9352235
 Fortuna, CA	-124.156034	40.597407
 El Campo, TX	-96.2696867	29.1966405
 Miami Beach, FL	-80.1272705	25.7881436
 Eagle River, WI	-89.244299	45.917176
 Port St. Lucie, FL	-80.3503283	27.2939333
 Tarpon Springs, FL	-82.7774086726	28.1477885

 Gilbert, AZ	-111.7890239	33.3528259
 Detroit, MI	-83.0567375	42.3486635
 Vancouver, WA	-122.6744557	45.6306954
 Grantham (UK/England),	-0.6426582	52.9133829
 Shasta Lake, CA	-84.1045947881	47.73760095
 Mesa, AZ	-114.0824451	34.2700153
 Bellingham, WA	-122.4788602	48.754402
 Flint, MI	-83.7236024	43.0171773
 Chicago, IL	-87.6244212	41.8755546

 New York City, NY	-73.9866136	40.7306458
 Chicago, IL	-87.6244212	41.8755546
 Los Angeles, CA	-118.244476	34.054935
 Kingston (North of) (Canada), ON	-76.481323	44.230687
 Eagle Rock, CA	-66.3150815	45.4296331
 Woodland, CA	-82.3881944	43.0001747
 Monticello, NY	-74.6893282	41.6556465
 Nagoya (Japan),	136.90448	35.15792
 Beirut, .	-65.320004	-12.8863598
 Sydney (NSW, Australia),	151.2164539	-33.8548157

 Redwood Shores, CA	-122.2480219	37.5318804
 Coeur D'Alene, ID	-116.7804664	47.6776832
 Santo Domingo (Dominican Republic),	-69.942111	18.4801972
 Atlanta, TX	-94.1643537	33.1137419
 Tewksbury (UK/England),	-1.1192639	52.9265341
 Littleton, NH	-71.770248	44.306653
 Milford, CT	-73.0564953	41.2223194
 Portland, OR	-122.6741949	45.5202471
 Brockton, MA	-71.0183787	42.0834335
 Mt.Vernon, WA	-122.32642	48.4200462
 Danbury, CT	-73.4540111	41.394817
 Ellinwood (3 miles south of), KS	-98.5809106	38.3555675
 Sahuarita, AZ	-110.955646	31.9575818
 Kallangur (Australia),	152.9923655	-27.246122
 Bremerton, WA	-122.6246836	47.5653663
 Highland Park, NJ	-74.4243178	40.4959379
 Guayaquil (Ecuador),	-79.9050240843	-2.1704143
 Elizabeth, NJ	-74.2107006	40.6639916
 New York City/Manhattan, NY	-74.0000328	40.759151
 Wirral (Liverpool) (UK/England),	-2.920561	53.3577997
 El Centro, CA	-79.5465859	43.7905318
 Lake Wales, FL	-81.5859099	27.9014133
 Tinaquillo (Venezuela),	-68.3075027	9.9177602
 Show Low, AZ	-110.0298327	34.2542084
 Rockford, IL	-89.093966	42.2713945
 Santa Monica, CA	-75.559685	46.724362
 Newport (UK/England),	-1.31635559782	50.6913105
 Atlanta, GA	-84.3901849	33.7490987
 Mandaree, ND	-102.6760243	47.729179
 Torrance, CA	-79.5692407	44.9955309
 Bayfield, CO	-107.5981123	37.2255593
 Dublin (Republic of Ireland),	-6.2602732	53.3497645
 Oliphant, PA	-79.8128612	41.239771
 Plantation, FL	-80.2578612377	26.1265258
 Ponca, AR	-93.3646264	36.0242433
 Austin, TX	-97.7436995	30.2711286
 Columbus, GA	-84.9877094	32.4609764
 Ellensburg, WA	-120.5451223	46.9970635
 Blaine, MN	-93.2349489	45.1607987
 Cloquet, MN	-92.4593566	46.7216102
 Dupo, IL	-90.2103903	38.5161634
 Cranbrook (Canada), BC	-115.760193	49.50916
 Fort William (UK/Scotland),	-5.1120308	56.8169712
 Colorado Springs, CO	-104.8253485	38.8339578
 Raleigh, NC	-78.6390989	35.7803977


 Rockford, IL	-89.093966	42.2713945
 Enterprise, AL	-85.8552161	31.3151708
 Kiev (Ukraine),	30.5240501	50.4501071
 Gilbert, AZ	-111.7890239	33.3528259
 Launceston (UK/England),	-4.3604432	50.6365062
 Jellico, TN	-84.1268634	36.58776
 Liverpool (UK/England),	-2.9833532	53.4131792
 Whittier, CA	-118.0336975	33.9748932
 Helena, MT	-112.036109	46.592712
 Valley Stream, NY	-73.7071451	40.6612095
 Lansdowne (Canada), ON	-76.0182686	44.4057546
 Ardmore, OK	-97.1436254	34.1742611
 Garden Grove, CA	-96.8780139	49.5091225
 Palo Alto, CA	-122.1634472	37.442156
 San Francisco, CA	-71.2743272	46.8443248
 Rockford, IL	-89.093966	42.2713945
 Hamilton (New Zealand),	175.2813186	-37.7876214
 Gilbert, AZ	-111.7890239	33.3528259
 Reno, NV	-119.8136744	39.52927
 Spokane, WA	-117.4212265	47.6579425
 Monument Valley, UT	5.2728955	52.1169272
 Santa Fe, NM	-105.9377997	35.6869996
 New Plymouth (New Zealand),	174.0806474	-39.0579941
 Lakeland, FL	-81.9498042	28.0394654
 Lancaster, OH	-82.5993294	39.7136754
 Greensboro, NC	-79.7919754	36.0726355
 Foxboro, MA	-71.2494975	42.0584323
 Kennewick, WA	-119.1204003	46.2089739
 Beeville, TX	-97.7483312	28.4008319
 Lokeren (Belgium),	3.9911114	51.1042159
 Cortez, CO	-108.5840736	37.3494528

 Edina, MN	-93.3501222	44.8897027
 Kilkenny (Republic of Ireland),	-7.2484948	52.6510216
 UK/England,	-0.540240286617	52.7954791
 Wanham (Canada), AB	-118.3896448	55.7344256
 SAINT LOUIS--CITY, MO	-90.19770345	38.6267938
 Chicago, IL	-87.6244212	41.8755546
 Sheffield (UK/England),	-1.4702278	53.3806626
 Wichita, KS	-97.3375448	37.6922361
 Prescott, AZ	-112.469518	34.5402813
 Russellville, AR	-93.1337856	35.2784173
 Carson, CA	-118.2517547	33.8322043
 Spokane, WA	-117.4212265	47.6579425
 Houston, TX	-95.3676974	29.7589382
 Phoenix, AZ	-112.0773456	33.4485866
 Rockford, IL	-89.093966	42.2713945
 Marietta, OH	-81.4548392	39.4167742

 Thorntown, IN	-86.6066706	40.1294839
 Ironton, OH	-82.6829406	38.5367471
 Loveland, CO	-105.0749801	40.3977612
 La Canada, CA	-107.9917071	61.0666922
 New York City/Brooklyn, NY	-73.9385536	40.6391069
 Sydney (50 miles north of)  (Australia),	151.2164539	-33.8548157
 Fulton, AR	-58.8104967	-37.4167935
 Woodland, CA	-82.3881944	43.0001747
 La Mesa, CA	-120.424031	50.675786
 Castle Rock, CO	-104.8586706	39.3724232

 Evergreen, CO	-105.321457979	39.6361637
 Sydney (NSW, Australia),	151.2164539	-33.8548157
 San Diego, CA	-117.1627714	32.7174209
 Edgewood, MD	-76.2944016	39.4187194
 Evansville, IN	-87.5558483	37.9747645
 Flagstaff, AZ	-111.6514259	35.199458
 New Forest (UK/England),	-1.59566147992	50.85562565
 Dubois, WY	-109.630434	43.533565
 Canton, MI	-83.4868677072	42.308081
 Manitoulin Island (Canada), ON	-82.2146050237	45.7563115

 Fountain City, WI	-91.7187628	44.1319078
 Ada, OK	-96.6783651	34.7743383
 Miami, FL	-80.1936589	25.7742658
 Munising, MI	-86.649447	46.409777
 Nellis AFB (Near), NV	-115.056804984	36.2448129
 Freeport, IL	-89.6212271	42.2966861
 Gilbert, AZ	-111.7890239	33.3528259
 Camarillo, CA	-119.0376024	34.2163939
 Orlando (nearby), FL	-81.3794368	28.5423999
 Chatham, NY	-73.5948391	42.3642517
 Cupertino, CA	-122.0322519	37.3230107
 Tempe, AZ	-111.9094474	33.4144139
 Colorado Springs, CO	-104.8253485	38.8339578
 Stradbroke, Suffolk (UK/England),	1.2728286	52.3175951
 Las Vegas, NV	-115.149225	36.1662859
 Palm Springs, CA	-116.495297698	33.77217945
 Brownsville, TN	-89.262291	35.5939671
 Westmont, IL	-87.9756175	41.7958639
 Penryn (UK/England),	-5.1034063	50.1685495
 La Jolla, CA	-117.2616203	32.8335005
 Laguna Beach, CA	-113.402912434	53.4453765
 Maple Valley, WA	-122.0437127	47.3664231
 Auburn, WA	-122.2301808	47.3075369
 Kresgeville, PA	-75.5029632	40.8970363
 San Diego, CA	-117.1627714	32.7174209

 Punta Gorda, FL	-82.0453664	26.9297836
 Rockford, IL	-89.093966	42.2713945
 York, PA	-76.727392	39.962398
 San Bernardino, CA	-117.2897652	34.1083449
 Kingsville, TX	-97.856109	27.5158689
 London (UK/England),	-0.113476774885	51.51419575
 Tucson, AZ	-110.9262353	32.2218917
 Fort Hood, TX	-97.7717578135	31.20143875
 Fort Wayne, IN	-85.1386015	41.0799898
 Benicia, CA	-122.1585777	38.049365
 New York City, NY	-73.9866136	40.7306458
 Darien, IL	-87.9739593	41.7508713
 Burlington, IL	-73.2114941	44.4723989
 Circle Pines, MN	-93.1544896	45.1417838
 Los Angeles, CA	-118.244476	34.054935
 St Joseph, MI	-94.8466322	39.7686055
 North Port, FL	-82.2359254	27.044224
 Pismo Beach, CA	-117.7697509	33.7312058
 Woodland, CA	-82.3881944	43.0001747
 Lone Pine, CA	-115.1159585	54.307066
 Waldoboro, ME	-69.375916	44.095476
 Peoria, IL	-89.5891008	40.6938609
 Kent, WA	-122.2270272	47.3826903
 Las Vegas, NV	-115.149225	36.1662859
 Friendship, WI	-89.816793	43.9705262
 Oostburg, WI	-87.7945323	43.6227748
 Rockford, IL	-89.093966	42.2713945
 Timpson, TX	-94.3952022	31.9037814
 Glen Ridge, NJ	-74.2037566	40.805378
 North Attleboro, MA	-71.3427427907	41.96282195
 Tilburg (Netherlands),	5.04393111644	51.57370915
 Rock Island, IL	-90.5787477	41.5094771
 Churchville, NY	-77.884454	43.104228
 Poughquag, NY	-73.6817957	41.6089826
 Newark, CA	-80.6953669	42.972978
 Mojave, CA	-118.1739645	35.0524699
 Beaver, PA	-80.3709999	40.6916624
 Rockford, IL	-89.093966	42.2713945
 Pueblo, CO	-104.609141	38.2544472
 Atlanta, GA	-84.3901849	33.7490987
 Oakville (Canada), ON	-79.666672	43.447436
 Merrillan, WI	-90.8412561	44.4510731
 Calgary (Canada), AB	-114.025370802	50.9916281
 Anchorage, AK	-149.8948523	61.2163129
 Kilauea, HI	-155.270447	19.4154432
 Todmorden (UK/England),	-2.097753	53.7137251
 Lawai, HI	-159.507751	21.925848
 Morganton, NC	-81.6870994	35.7454376
 South Point, OH	-82.5862699	38.4178597
 London (UK/England),	-0.113476774885	51.51419575
 Fallston, MD	-76.4110732	39.5145515
 Duncan, OK	-97.9578129	34.5023029
 Atlanta, GA	-84.3901849	33.7490987
 Hopewell, VA	-79.4639158	36.7468036
 Townsville (Australia),	146.8239537	-19.2569391
 Miami, FL	-80.1936589	25.7742658
 Ithaca, NY	-76.4968019	42.4396039
 Lodi, OH	-82.012006	41.0330142
 Middletown, CA	-122.624194876	38.7528585
 Lawai, HI	-159.507751	21.925848
 Lebo, KS	-95.8530441	38.4166818
 Molalla, OR	-122.5770322	45.1473445
 Longville, LA	-77.1872061	39.690099
 Southeastern, NH	-71.4358198341	42.73850875
 Lampeter (UK/Wales),	-4.078761	52.1130523
 Crookston, MN	-96.6081212	47.7741383
 Lake Havasu City, AZ	-114.344001	34.4742786
 Kamuela, HI	-155.54986	20.0551145
 Miami, FL	-80.1936589	25.7742658
 Granite City, IL	-90.1487199	38.7014389
 Rockford, IL	-89.093966	42.2713945
 St. Louis, MO	-90.2416548	38.6337716
 Vancouver (Canada), BC	-100.2877992	25.770135
 Vincennes, IN	-87.5286325	38.6772691
 San Diego, CA	-117.1627714	32.7174209
 Warren, VT	-72.855835	44.114212
 Stevens Point, WI	-89.574111	44.5229223
 Tulsa, OK	-95.9929113	36.1556805

 Columbus, OH	-83.0007065	39.9622601
 Rockford, IL	-89.093966	42.2713945
 Daytona Beach, FL	-81.0228331	29.2108147
 Bolingbrook, IL	-88.0717708	41.7003302
 New York City/Brooklyn, NY	-73.9385536	40.6391069
 none, TX	-94.3685257	32.5481554
 Kingman, AZ	-114.0530065	35.189443
 Phoenix, AZ	-112.0773456	33.4485866
 Buffalo, NY	-78.8783922	42.8867166

 Willow Beach, AZ	-85.9103208	30.2869264
 Toledo, OH	-83.5127283	41.6786754
 Bellevue, WA	-122.1923372	47.6144219
 North Miami Beach, FL	-80.1625463	25.9331488
 Beloit, KS	-98.108282	39.458684
 Naperville, IL	-88.147867	41.7729107
 Bloomington, CA	-65.0021182	44.8799848
 West Warwick, RI	-71.5236633	41.7063679
 London (UK/England),	-0.113476774885	51.51419575
 Athens, TX	-95.8555207	32.2048735
 Gillette, WY	-105.501876	44.290635
 Galway, NY	-74.0315162	43.0186858
 Iron River, MI	-88.7168984	46.1222973
 Ballater, Aberdeenshire (UK/Scotland),	-3.0402419	57.0491043
 Roseville, CA	-80.4759309	43.3414752
 Paraparaumu,	175.0061963	-40.9144636
 Payette, ID	-116.7651123	44.0374651
 Ironton, OH	-82.6829406	38.5367471
 Bellingham, WA	-122.4788602	48.754402
 Toomsuba, MS	-88.5069819	32.418474
 New Salem, PA	-76.7900027	39.9026356
 Sulphur Springs, TX	-95.6010143	33.1384886
 Tonawanda, NY	-78.878383	43.020679
 Boyden, IA	-96.005804	43.190935
 Portland, OR	-122.6741949	45.5202471
 Negombo (Sri Lanka),	79.833117	7.2094282
 Loon Lake, MN	-94.1269103642	46.7135629
 Crawley (UK/England),	-0.1801094	51.1103444
 South Bend, IN	-86.2500066	41.6833813
 Pismo Beach, CA	-117.7697509	33.7312058
 Westlake, LA	-81.9179174	41.4553232
 St. Agatha, ME	-68.3136517	47.2430959
 Concord, NH	-71.537476	43.207178
 Rockford, IL	-89.093966	42.2713945

 Pennsauken, NJ	-75.0579502	39.9562238
 Damascus, MD	-77.2038717	39.2884381
 Elizabeth City, NC	-76.2247697	36.2956836
 Austin, TX	-97.7436995	30.2711286
 Carlsbad, NM	-104.2287757	32.4207262
 North Pole, AK	-147.349319	64.750997
 Valley Stream, NY	-73.7071451	40.6612095
 Aurora, CO	-104.8319196	39.729432
 Chelmsford (UK/England),	0.4724544	51.7345436
 Anthem, AZ	-112.1254665	33.8613328
 Patten, ME	-68.4461425	45.9964392
 Atlanta, GA	-84.3901849	33.7490987
 Fresno, CA	-119.708861261	36.7295295
 Southington, CT	-72.8782941	41.6005435
 San Fernando, CA	-118.4389719	34.2819461
 Claremore, OK	-95.6158701	36.3125897
 Rockford, IL	-89.093966	42.2713945
 Seattle/Tacoma, WA	-122.412011498	47.24010645
 Albrightsville, PA	-75.6010222	41.0145319
 Riverside, CA	-122.2971512	49.122193
 Spokane, WA	-117.4212265	47.6579425
 Luka, IL	19.2665012	-5.8816235
 Clintwood, VA	-82.4559846	37.1501067
 Pittsburg, KS	-94.70496	37.4108841
 Sunderland (UK/England),	-1.375053	54.9063791
 Seattle, WA	-122.3300624	47.6038321
 Silesia, MT	-108.8413108	45.5564801
 Rockford, IL	-89.093966	42.2713945
 Nowra (Australia),	150.6004709	-34.8741198
 Charlotte, NC	-80.8431268	35.2270869
 Olympia, WA	-122.8948725	47.0450197
 Spokane, WA	-117.4212265	47.6579425

 Eufaula, OK	-95.5824846	35.2873206

 Destin, FL	-86.4957834	30.3935337

 Reedpoint, MT	-109.545335	45.7154009
 Imperial, AZ	-79.0210043	-2.9032949
 Moab, UT	-109.5462146	38.5738096
 Longwood, FL	-81.3492779714	28.7007225
 Sebastopol, CA	-80.8363973	43.3325941
 Pine Mountain, GA	-84.8540982	32.8648522
 Stafford (UK/England),	-2.1163818	52.8063157
 Lyndhurst, VA	-78.9450242	38.0293036
 Napoleon, MI	-89.6270606	30.3280266
 Coupeville, WA	-122.6858073	48.2181895
 Gloucester, MA	-70.6619888	42.6159286
 Estes Park, CO	-105.531074868	40.336359
 Oregon, OH	-83.4868768	41.6436603
 Omaha, NE	-95.9378732	41.2587317
 Nottingham (UK/England),	-1.1492773	52.9534161
 Vancouver, WA	-122.6744557	45.6306954
 Nasik (India),	73.8316941	19.9615591
 Carrollton, GA	-85.0766113	33.5801103
 Fremont, MI	-108.5772551	43.0293336
 Pickering (Canada), ON	-79.072747	43.8494807
 San Clemente, CA	-117.6124179	33.4270275
 Dolgellau (UK/Wales),	-3.8777787	52.744715
 Seattle, WA	-122.3300624	47.6038321
 Rockford, IL	-89.093966	42.2713945
 Bath (UK/England),	-2.3596963	51.3813864

 Fargher Lake (WA Hwy. 503), WA	-122.5142659	45.8884465
 Saco, ME	-70.4428286	43.5009176
 Rockford, IL	-89.093966	42.2713945
 Quepos (Costa Rica),	-84.0699547446	9.4130419
 Tulsa, OK	-95.9929113	36.1556805
 North Tonawanda, NY	-78.8642034	43.038668
 Biala (Bulgaria),	27.79510567	42.8919239
 Greenwich, NY	-73.4987251	43.0906318
 Roswell, NM	-104.5229518	33.3943282
 Kittery, ME	-70.736847	43.088448
 Houston, TX	-95.3676974	29.7589382
 Eugene, OR	-123.0950506	44.0505054
 Houston, TX	-95.3676974	29.7589382
 Nederland, CO	-105.5108312	39.9613759
 Las Vegas, NM	-105.2238969	35.5939325
 Fresno, CA	-119.708861261	36.7295295
 Stephenville, TX	-98.2026165	32.2207307
 Burlington (Canada), ON	-79.7966835	43.3248924
 Pueblo, CO	-104.609141	38.2544472
 Phoenix, AZ	-112.0773456	33.4485866
 Oakville (Canada), ON	-79.666672	43.447436
 Woodland, WA	-122.7408326	45.9109715
 Bouse, AZ	-114.029403166	33.9352235
 El Centro, CA	-79.5465859	43.7905318
 Newport, OR	-124.053442	44.636755
 Dallas, TX	-96.7968559	32.7762719
 Tulsa, OK	-95.9929113	36.1556805
 Cape Town (South Africa),	18.417396	-33.928992
 Rockford, IL	-89.093966	42.2713945
 Avondale, AZ	-112.3405021	33.4359175
 Longwood, FL	-81.3492779714	28.7007225
 Palm Desert, CA	-116.3825711	33.7288179
 North Whitefield, ME	-69.5872663	44.222017
 Merkel, TX	-100.0128739	32.4706777
 Orleans (Canada), ON	-75.50996	45.4810426
 Garden Grove, CA	-96.8780139	49.5091225
 Sharjah (UAE),	55.3605655	25.3361589
 Atlantic Ocean (NC/250+nm off the coast), NC	-75.4759429483	35.6381035
 Gilbert, AZ	-111.7890239	33.3528259
 Nashville, TN	-86.7743531	36.1622296
 Oklahoma (Route 44), OK	-97.4367741	35.5533328

 Rockford, IL	-89.093966	42.2713945
 Sonoma County (Coast of), CA	-122.8473388	38.5110803
 Progreso, TX	-97.9572242	26.0922991
 Zuerich (Switzerland),	8.5423216	47.3723957
 Anthony, KS	-98.0311728	37.1533554
 Pomona, MO	-91.914317	36.8672793
 Rochester Hills, MI	-83.1499322	42.6583661
 Bogota (Colombia), DC	-74.115734	4.6806188
 Ballston Lake, NY	-73.8681782	42.9117428
 Spirit Lake, IA	-95.1022169	43.4221843
 Denver, CO	-104.9847034	39.7391536
 Baton Rouge, LA	-91.154551	30.4507462
 Lasalle (Canada), ON	-83.095093	42.236652
 Belleville, NJ	-74.1501438	40.7937116

 Kansas, KS	-95.7925934559	39.1114508
 Payette, ID	-116.7651123	44.0374651
 Akron, OH	-81.518485	41.083064
 Rockford, IL	-89.093966	42.2713945
 Meridien, CT	2.1707631	41.3836207
 Morro Bay, CA	-120.8499013	35.3658075
 Amhearst, OH	-81.4903307	41.4945764
 Lexington, KY	-84.4970393	38.0464066
 Los Angeles, CA	-118.244476	34.054935
 Corpus Christi, TX	-97.3955744	27.8002542
 Estes Park (Near), CO	-76.6840854709	39.2212993
 Scottsdale, AZ	-111.8992365	33.5091215
 Kenmore, WA	-122.2440148	47.7573202
 Kuala Lumpur (Malaysia),	101.7381037	2.7243827
 Houston, TX	-95.3676974	29.7589382
 Sheffield (UK/England),	-1.4702278	53.3806626
 Schnecksville, PA	-75.6214324646	40.6763665
 Rockford, IL	-89.093966	42.2713945
 Fairfield, CA	-123.350577168	48.4136422
 Plainfield, IL	-88.2284325789	41.623191
 Lafayette, CA	-122.1180201	37.8857582
 Havre, MT	-109.6840887	48.549999
 Sisterdale, TX	-98.7208615	29.9729915
 Ballina (Republic of Ireland),	-9.28165638161	52.62266935
 Broken Arrow, OK	-95.7908195	36.0525993

 San Francisco, CA	-71.2743272	46.8443248
 St. Charles, MO	-90.789128	38.9069393
 St. Paul, MN	-93.1015026	44.9504037
 Nashville, TN	-86.7743531	36.1622296
 Segno, TX	-94.6863153	30.5771485
 Lodi, WI	-89.5265093	43.313878
 Sanford, ME	-70.7742246	43.439249
 Melbourne (VIC, Australia),	144.9631608	-37.8142176
 Gilroy, CA	-121.5631723	37.0065078
 Kailua-Kona, HI	-155.996933	19.641941
 Martins Ferry, OH	-80.724526	40.0959055
 Fort Collins, CO	-105.0668085	40.5508527
 Auburn, NH	-71.348398	43.0045289
 Iceland (approximately; over water),	0.547714867236	51.38660965
 Claremore, OK	-95.6158701	36.3125897
 Beaver, PA	-80.3709999	40.6916624
 Monroe, WA	-121.987547017	47.862745
 Perrysburg, OH	-83.6279321	41.5571178
 Freehold, NJ	-74.2737573	40.2601096
 Cape Canaveral, FL	-80.52662	28.45077
 Greenville, SC	-82.3984882	34.851354
 Houston, TX	-95.3676974	29.7589382
 Brainerd, MN	-94.2008288	46.3580221
 Chicago, IL	-87.6244212	41.8755546
 Prince George (Canada), BC	-122.7442327	53.919214

 Norwalk, CT	-73.4078968	41.1175966
 Graham, NC	-79.4005756	36.0690258
 Delta (Canada), BC	-83.0337764	46.203066
 Tulsa, OK	-95.9929113	36.1556805
